Top 20 nodes with highest PageRank values for beta=0.85:
NodeID,PageRank
7237,0.007385263137179224
7498,0.006810098607650431
7339,0.006406924018043254
7162,0.0031620367868120695
7224,0.002917062627612984
7435,0.0027632728008157846
6519,0.0027062061687505874
7100,0.0025896020131115144
7199,0.002569938898947023
7595,0.002563931924916667
4811,0.0024410816119636524
6101,0.0023056856477816096
7536,0.0022487798343326306
4785,0.002216877922301467
7489,0.0019753663614341488
7587,0.0018521968597531645
7488,0.0018327286451309877
6617,0.0017622294437587298
7226,0.0017295324786834477
7416,0.0017161698520741198
