Top 20 nodes with highest PageRank values for beta=0.8:
NodeID,PageRank
7237,0.006858465993095445
7498,0.005839033242278145
7339,0.005734839090192696
7162,0.002949448078880447
7224,0.0027017783261605024
6519,0.0025557814421752964
7199,0.002464518117503531
7435,0.0024407965825607933
4811,0.0024300035404900867
7100,0.0024255519109417016
7595,0.0023608585269248744
6101,0.0022209431177792863
4785,0.002203559868486862
7536,0.0019719384849312825
7489,0.0017648253862909131
7488,0.00170100018392011
7587,0.0016818196451905017
6617,0.0016178362586977669
7226,0.0016112140865610978
6446,0.0015994678620040764
